"County","OBJECTID","DEPCODE","covid_hosp","Total_staffed_bed_capacity","available_capacity","available","bed_cencus","Total_pediatric_icu_capacity","available_pediatric_icu_pct","available_pediatric_icu","pediatric_icu_census","total_adult_icu_capacity","available_adult_icu_pct","available_adult_icu","adult_icu_census"
"Alachua",66,1,79,1649,20.1,332,1317,47,40.4,19,28,308,13.6,42,266
"Baker",17,2,18,618,16.8,104,514,0,0,0,0,0,0,0,0
"Bay",15,3,30,534,27.2,145,389,4,50,2,2,80,12.5,10,70
"Bradford",40,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brevard",42,5,104,1547,22.6,349,1198,0,0,0,0,172,22.7,39,133
"Broward",62,6,1005,5513,18.2,1004,4509,53,39.6,21,32,515,9.7,50,465
"Calhoun",5,7,0,10,40,4,6,0,0,0,0,0,0,0,0
"Charlotte",56,8,30,702,34.9,245,457,0,0,0,0,49,20.4,10,39
"Citrus",32,9,17,313,29.1,91,222,0,0,0,0,36,25,9,27
"Clay",22,10,39,541,13.5,73,468,6,100,6,0,42,2.4,1,41
"Collier",47,11,176,891,15.5,138,753,0,0,0,0,80,27.5,22,58
"Columbia",16,12,19,130,15.4,20,110,0,0,0,0,17,23.5,4,13
"Dade",48,13,1597,8422,21,1768,6654,80,21.2,17,63,961,13.2,127,834
"Desoto",58,14,4,55,32.7,18,37,0,0,0,0,8,25,2,6
"Dixie",26,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duval",36,16,457,3917,25.1,984,2933,40,40,16,24,440,22.7,100,340
"Escambia",63,17,137,1344,23.8,320,1024,16,62.5,10,6,118,8.5,10,108
"Flagler",59,18,16,112,8,9,103,0,0,0,0,18,5.6,1,17
"Franklin",65,19,0,15,93.3,14,1,0,0,0,0,0,0,0,0
"Gadsden",9,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilchrist",1,21,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glades",55,22,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gulf",38,23,1,21,85.7,18,3,0,0,0,0,0,0,0,0
"Hamilton",14,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hardee",23,25,0,25,8,2,23,0,0,0,0,0,0,0,0
"Hendry",60,26,3,29,55.2,16,13,0,0,0,0,0,0,0,0
"Hernando",33,27,49,740,31.5,233,507,0,0,0,0,56,12.5,7,49
"Highlands",45,28,30,273,27.8,76,197,0,0,0,0,28,10.7,3,25
"Hillsborough",20,29,275,3929,15.7,615,3314,42,45.2,19,23,381,9.4,36,345
"Holmes",18,30,0,20,45,9,11,0,0,0,0,0,0,0,0
"Indian River",61,31,28,464,32.1,149,315,0,0,0,0,29,31,9,20
"Jackson",52,32,33,84,27.4,23,61,0,0,0,0,9,55.6,5,4
"Jefferson",11,33,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lafayette",37,34,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lake",27,35,121,870,15.5,135,735,0,0,0,0,92,16.3,15,77
"Lee",46,36,269,1753,16.4,288,1465,86,25.6,22,64,139,14.4,20,119
"Leon",10,37,52,896,22.1,198,698,9,77.8,7,2,72,18.1,13,59
"Levy",28,38,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liberty",13,39,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madison",12,40,0,15,46.7,7,8,0,0,0,0,0,0,0,0
"Manatee",21,41,80,797,17.2,137,660,0,0,0,0,61,8.2,5,56
"Marion",24,42,85,915,12.8,117,798,0,0,0,0,94,14.9,14,80
"Martin",19,43,45,790,67.8,536,254,0,0,0,0,39,64.1,25,14
"Monroe",49,44,10,115,30.4,35,80,0,0,0,0,10,30,3,7
"Nassau",54,45,5,86,58.1,50,36,0,0,0,0,8,0,0,8
"Okaloosa",4,46,35,464,20.7,96,368,0,0,0,0,55,10.9,6,49
"Okeechobee",64,47,11,100,47,47,53,0,0,0,0,8,0,0,8
"Orange",31,48,489,4061,16.7,677,3384,132,49.2,65,67,347,15.3,53,294
"Osceola",44,49,199,1065,18.7,199,866,6,83.3,5,1,106,6.6,7,99
"Palm Beach",6,50,595,4185,28.5,1191,2994,32,46.9,15,17,425,22.6,96,329
"Pasco",8,51,90,1369,17.8,244,1125,0,0,0,0,130,6.2,8,122
"Pinellas",34,52,204,2981,18.2,542,2439,41,7.3,3,38,296,6.4,19,277
"Polk",43,53,151,1583,14.5,230,1353,0,0,0,0,177,5.6,10,167
"Putnam",2,54,15,84,26.2,22,62,0,0,0,0,10,10,1,9
"Santa Rosa",50,57,21,346,57.8,200,146,0,0,0,0,21,47.6,10,11
"Sarasota",57,58,107,1283,19.1,245,1038,0,0,0,0,112,21.4,24,88
"Seminole",30,59,155,893,15.6,139,754,0,0,0,0,72,8.3,6,66
"St. Johns",67,55,24,330,49.1,162,168,0,0,0,0,44,36.4,16,28
"St. Lucie",7,56,115,886,16.4,145,741,6,0,0,6,90,7.8,7,83
"Sumter",29,60,20,347,45,156,191,0,0,0,0,40,17.5,7,33
"Suwannee",35,61,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taylor",3,62,0,16,75,12,4,0,0,0,0,0,0,0,0
"Union",39,63,0,125,54.4,68,57,0,0,0,0,0,0,0,0
"Unknown",68,999,0,0,0,0,0,0,0,0,0,0,0,0,0
"Volusia",25,64,134,1433,25.1,359,1074,5,100,5,0,216,22.2,48,168
"Wakulla",41,65,0,0,0,0,0,0,0,0,0,0,0,0,0
"Walton",51,66,5,117,54.7,64,53,0,0,0,0,23,30.4,7,16
"Washington",53,67,4,59,16.9,10,49,0,0,0,0,0,0,0,0
