"State","County","OBJECTID","DEPCODE","covid_hosp","total_staffed_bed_capacity","available_capacity","available","bed_cencus","total_pediatric_icu_capacity","available_pediatric_icu_pct","available_pediatric_icu","pediatric_icu_census","total_adult_icu_capacity","available_adult_icu_pct","available_adult_icu","adult_icu_census"
"Florida","Alachua",1,1,80,1649,20,330,1319,47,40.4,19,28,308,13.3,41,267
"Florida","Baker",2,2,30,619,17,105,514,0,0,0,0,0,0,0,0
"Florida","Bay",3,3,42,528,27.3,144,384,4,50,2,2,73,4.1,3,70
"Florida","Bradford",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florida","Brevard",5,5,121,1553,25,388,1165,0,0,0,0,169,24.9,42,127
"Florida","Broward",6,6,1050,5514,19.4,1070,4444,54,42.6,23,31,506,11.9,60,446
"Florida","Calhoun",7,7,0,10,40,4,6,0,0,0,0,0,0,0,0
"Florida","Charlotte",8,8,33,697,37.9,264,433,0,0,0,0,52,13.5,7,45
"Florida","Citrus",9,9,17,313,31.3,98,215,0,0,0,0,37,29.7,11,26
"Florida","Clay",10,10,19,562,17.3,97,465,6,50,3,3,42,7.1,3,39
"Florida","Collier",11,11,172,894,15.5,139,755,0,0,0,0,81,27.2,22,59
"Florida","Columbia",12,12,22,132,9.8,13,119,0,0,0,0,14,21.4,3,11
"Florida","Dade",13,13,1663,8425,21.3,1795,6630,81,21,17,64,993,15.4,153,840
"Florida","Desoto",14,14,3,55,40,22,33,0,0,0,0,8,37.5,3,5
"Florida","Dixie",15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florida","Duval",16,16,475,3867,25.5,987,2880,40,45,18,22,432,23.8,103,329
"Florida","Escambia",17,17,155,1343,26.1,351,992,16,62.5,10,6,118,3.4,4,114
"Florida","Flagler",18,18,16,99,13.1,13,86,0,0,0,0,18,11.1,2,16
"Florida","Franklin",19,19,0,15,93.3,14,1,0,0,0,0,0,0,0,0
"Florida","Gadsden",20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florida","Gilchrist",21,21,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florida","Glades",22,22,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florida","Gulf",23,23,1,21,81,17,4,0,0,0,0,0,0,0,0
"Florida","Hamilton",24,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florida","Hardee",25,25,0,25,12,3,22,0,0,0,0,0,0,0,0
"Florida","Hendry",26,26,8,29,51.7,15,14,0,0,0,0,0,0,0,0
"Florida","Hernando",27,27,34,719,30.3,218,501,0,0,0,0,56,16.1,9,47
"Florida","Highlands",28,28,37,269,25.3,68,201,0,0,0,0,28,14.3,4,24
"Florida","Hillsborough",29,29,283,3873,18.7,726,3147,41,43.9,18,23,376,12,45,331
"Florida","Holmes",30,30,2,20,45,9,11,0,0,0,0,0,0,0,0
"Florida","Indian River",31,31,31,453,36.6,166,287,0,0,0,0,30,30,9,21
"Florida","Jackson",32,32,32,85,31.8,27,58,0,0,0,0,10,50,5,5
"Florida","Jefferson",33,33,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florida","Lafayette",34,34,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florida","Lake",35,35,119,925,23.9,221,704,0,0,0,0,104,30.8,32,72
"Florida","Lee",36,36,266,1751,17.4,304,1447,86,26.7,23,63,140,13.6,19,121
"Florida","Leon",37,37,60,893,21.7,194,699,9,77.8,7,2,72,15.3,11,61
"Florida","Levy",38,38,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florida","Liberty",39,39,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florida","Madison",40,40,0,15,46.7,7,8,0,0,0,0,0,0,0,0
"Florida","Manatee",41,41,84,806,20.1,162,644,0,0,0,0,59,11.9,7,52
"Florida","Marion",42,42,88,910,14.4,131,779,0,0,0,0,87,16.1,14,73
"Florida","Martin",43,43,51,490,46.3,227,263,0,0,0,0,39,69.2,27,12
"Florida","Monroe",44,44,10,115,30.4,35,80,0,0,0,0,10,30,3,7
"Florida","Nassau",45,45,5,86,62.8,54,32,0,0,0,0,8,0,0,8
"Florida","Okaloosa",46,46,38,460,20.9,96,364,0,0,0,0,54,16.7,9,45
"Florida","Okeechobee",47,47,11,100,37,37,63,0,0,0,0,8,0,0,8
"Florida","Orange",48,48,517,4223,20.3,859,3364,112,37.5,42,70,355,23.1,82,273
"Florida","Osceola",49,49,203,1039,18.6,193,846,6,100,6,0,106,8.5,9,97
"Florida","Palm Beach",50,50,613,4151,30,1247,2904,32,62.5,20,12,425,24,102,323
"Florida","Pasco",51,51,104,1346,18.9,254,1092,0,0,0,0,128,7,9,119
"Florida","Pinellas",52,52,206,2947,17.5,515,2432,38,10.5,4,34,294,8.5,25,269
"Florida","Polk",53,53,146,1599,19.3,309,1290,0,0,0,0,168,6,10,158
"Florida","Putnam",54,54,15,84,26.2,22,62,0,0,0,0,10,10,1,9
"Florida","Santa Rosa",55,57,21,341,58.1,198,143,0,0,0,0,20,55,11,9
"Florida","Sarasota",56,58,127,1265,22.1,279,986,0,0,0,0,112,25,28,84
"Florida","Seminole",57,59,176,922,19.1,176,746,0,0,0,0,73,12.3,9,64
"Florida","St. Johns",58,55,28,331,51.1,169,162,0,0,0,0,46,39.1,18,28
"Florida","St. Lucie",59,56,120,886,17.9,159,727,6,0,0,6,90,8.9,8,82
"Florida","Sumter",60,60,20,347,45,156,191,0,0,0,0,40,22.5,9,31
"Florida","Suwannee",61,61,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florida","Taylor",62,62,0,16,75,12,4,0,0,0,0,0,0,0,0
"Florida","Union",63,63,0,125,53.6,67,58,0,0,0,0,0,0,0,0
"Florida","Unknown",64,999,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florida","Volusia",65,64,135,1541,33.5,517,1024,5,100,5,0,272,40.1,109,163
"Florida","Wakulla",66,65,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florida","Walton",67,66,6,118,55.9,66,52,0,0,0,0,23,39.1,9,14
"Florida","Washington",68,67,4,59,23.7,14,45,0,0,0,0,0,0,0,0
