"State","County","OBJECTID","DEPCODE","covid_hosp","total_staffed_bed_capacity","available_capacity","available","bed_cencus","total_staffed_bed_capacity.1","available_capacity.1","available.1","bed_cencus.1","total_pediatric_icu_capacity","available_pediatric_icu_pct","available_pediatric_icu","pediatric_icu_census","total_adult_icu_capacity","available_adult_icu_pct","available_adult_icu","adult_icu_census"
"Florida","Alachua",1,1,"95","257","0.275","0","","0","0.166666667","0","","257","0.275","0","","0","0.166666667","0",""
"Florida","Alachua",2,1,"95","257","0.275","0","","0","0.166666667","0","","51","40","0","0","0","54","0","0"
"Florida","Alachua",3,1,"95","257","0.275","0","","0","0.166666667","0","","0.165584416","0","","331","","0","","0"
"Florida","Alachua",4,1,"95","257","0.275","0","","0","0.166666667","0","","308","0","0","45","0","0","0","0"
"Florida","Alachua",5,1,"95","257","0.275","0","","0","0.166666667","0","","26","","0","0.119680851","0","","8",""
"Florida","Alachua",6,1,"95","257","0.275","0","","0","0.166666667","0","","21","0","0","376","0","0","2","0"
"Florida","Alachua",7,1,"95","257","0.275","0","","0","0.166666667","0","","0.446808511","39","","23","","8","0.2","0"
"Florida","Alachua",8,1,"95","257","0.275","0","","0","0.166666667","0","","47","3","0","18","0","0","10","0"
"Florida","Alachua",9,1,"95","51","40","0","0","0","54","0","0","257","0.275","0","","0","0.166666667","0",""
"Florida","Alachua",10,1,"95","51","40","0","0","0","54","0","0","51","40","0","0","0","54","0","0"
"Florida","Alachua",11,1,"95","51","40","0","0","0","54","0","0","0.165584416","0","","331","","0","","0"
"Florida","Alachua",12,1,"95","51","40","0","0","0","54","0","0","308","0","0","45","0","0","0","0"
"Florida","Alachua",13,1,"95","51","40","0","0","0","54","0","0","26","","0","0.119680851","0","","8",""
"Florida","Alachua",14,1,"95","51","40","0","0","0","54","0","0","21","0","0","376","0","0","2","0"
"Florida","Alachua",15,1,"95","51","40","0","0","0","54","0","0","0.446808511","39","","23","","8","0.2","0"
"Florida","Alachua",16,1,"95","51","40","0","0","0","54","0","0","47","3","0","18","0","0","10","0"
"Florida","Alachua",17,1,"95","0.165584416","0","","331","","0","","0","257","0.275","0","","0","0.166666667","0",""
"Florida","Alachua",18,1,"95","0.165584416","0","","331","","0","","0","51","40","0","0","0","54","0","0"
"Florida","Alachua",19,1,"95","0.165584416","0","","331","","0","","0","0.165584416","0","","331","","0","","0"
"Florida","Alachua",20,1,"95","0.165584416","0","","331","","0","","0","308","0","0","45","0","0","0","0"
"Florida","Alachua",21,1,"95","0.165584416","0","","331","","0","","0","26","","0","0.119680851","0","","8",""
"Florida","Alachua",22,1,"95","0.165584416","0","","331","","0","","0","21","0","0","376","0","0","2","0"
"Florida","Alachua",23,1,"95","0.165584416","0","","331","","0","","0","0.446808511","39","","23","","8","0.2","0"
"Florida","Alachua",24,1,"95","0.165584416","0","","331","","0","","0","47","3","0","18","0","0","10","0"
"Florida","Alachua",25,1,"95","308","0","0","45","0","0","0","0","257","0.275","0","","0","0.166666667","0",""
"Florida","Alachua",26,1,"95","308","0","0","45","0","0","0","0","51","40","0","0","0","54","0","0"
"Florida","Alachua",27,1,"95","308","0","0","45","0","0","0","0","0.165584416","0","","331","","0","","0"
"Florida","Alachua",28,1,"95","308","0","0","45","0","0","0","0","308","0","0","45","0","0","0","0"
"Florida","Alachua",29,1,"95","308","0","0","45","0","0","0","0","26","","0","0.119680851","0","","8",""
"Florida","Alachua",30,1,"95","308","0","0","45","0","0","0","0","21","0","0","376","0","0","2","0"
"Florida","Alachua",31,1,"95","308","0","0","45","0","0","0","0","0.446808511","39","","23","","8","0.2","0"
"Florida","Alachua",32,1,"95","308","0","0","45","0","0","0","0","47","3","0","18","0","0","10","0"
"Florida","Alachua",33,1,"95","26","","0","0.119680851","0","","8","","257","0.275","0","","0","0.166666667","0",""
"Florida","Alachua",34,1,"95","26","","0","0.119680851","0","","8","","51","40","0","0","0","54","0","0"
"Florida","Alachua",35,1,"95","26","","0","0.119680851","0","","8","","0.165584416","0","","331","","0","","0"
"Florida","Alachua",36,1,"95","26","","0","0.119680851","0","","8","","308","0","0","45","0","0","0","0"
"Florida","Alachua",37,1,"95","26","","0","0.119680851","0","","8","","26","","0","0.119680851","0","","8",""
"Florida","Alachua",38,1,"95","26","","0","0.119680851","0","","8","","21","0","0","376","0","0","2","0"
"Florida","Alachua",39,1,"95","26","","0","0.119680851","0","","8","","0.446808511","39","","23","","8","0.2","0"
"Florida","Alachua",40,1,"95","26","","0","0.119680851","0","","8","","47","3","0","18","0","0","10","0"
"Florida","Alachua",41,1,"95","21","0","0","376","0","0","2","0","257","0.275","0","","0","0.166666667","0",""
"Florida","Alachua",42,1,"95","21","0","0","376","0","0","2","0","51","40","0","0","0","54","0","0"
"Florida","Alachua",43,1,"95","21","0","0","376","0","0","2","0","0.165584416","0","","331","","0","","0"
"Florida","Alachua",44,1,"95","21","0","0","376","0","0","2","0","308","0","0","45","0","0","0","0"
"Florida","Alachua",45,1,"95","21","0","0","376","0","0","2","0","26","","0","0.119680851","0","","8",""
"Florida","Alachua",46,1,"95","21","0","0","376","0","0","2","0","21","0","0","376","0","0","2","0"
"Florida","Alachua",47,1,"95","21","0","0","376","0","0","2","0","0.446808511","39","","23","","8","0.2","0"
"Florida","Alachua",48,1,"95","21","0","0","376","0","0","2","0","47","3","0","18","0","0","10","0"
"Florida","Alachua",49,1,"95","0.446808511","39","","23","","8","0.2","0","257","0.275","0","","0","0.166666667","0",""
"Florida","Alachua",50,1,"95","0.446808511","39","","23","","8","0.2","0","51","40","0","0","0","54","0","0"
"Florida","Alachua",51,1,"95","0.446808511","39","","23","","8","0.2","0","0.165584416","0","","331","","0","","0"
"Florida","Alachua",52,1,"95","0.446808511","39","","23","","8","0.2","0","308","0","0","45","0","0","0","0"
"Florida","Alachua",53,1,"95","0.446808511","39","","23","","8","0.2","0","26","","0","0.119680851","0","","8",""
"Florida","Alachua",54,1,"95","0.446808511","39","","23","","8","0.2","0","21","0","0","376","0","0","2","0"
"Florida","Alachua",55,1,"95","0.446808511","39","","23","","8","0.2","0","0.446808511","39","","23","","8","0.2","0"
"Florida","Alachua",56,1,"95","0.446808511","39","","23","","8","0.2","0","47","3","0","18","0","0","10","0"
"Florida","Alachua",57,1,"95","47","3","0","18","0","0","10","0","257","0.275","0","","0","0.166666667","0",""
"Florida","Alachua",58,1,"95","47","3","0","18","0","0","10","0","51","40","0","0","0","54","0","0"
"Florida","Alachua",59,1,"95","47","3","0","18","0","0","10","0","0.165584416","0","","331","","0","","0"
"Florida","Alachua",60,1,"95","47","3","0","18","0","0","10","0","308","0","0","45","0","0","0","0"
"Florida","Alachua",61,1,"95","47","3","0","18","0","0","10","0","26","","0","0.119680851","0","","8",""
"Florida","Alachua",62,1,"95","47","3","0","18","0","0","10","0","21","0","0","376","0","0","2","0"
"Florida","Alachua",63,1,"95","47","3","0","18","0","0","10","0","0.446808511","39","","23","","8","0.2","0"
"Florida","Alachua",64,1,"95","47","3","0","18","0","0","10","0","47","3","0","18","0","0","10","0"
"Florida","Baker",65,2,"30","0","0.071428571","0","0.439024390","52","0","0","","0","0.071428571","0","0.439024390","52","0","0",""
"Florida","Baker",66,2,"30","0","0.071428571","0","0.439024390","52","0","0","","0","42","0","41","7","8","0","0"
"Florida","Baker",67,2,"30","0","0.071428571","0","0.439024390","52","0","0","","","3","","0","0.118644068","0","","0"
"Florida","Baker",68,2,"30","0","0.071428571","0","0.439024390","52","0","0","","0","3","0","0","59","0","0","0"
"Florida","Baker",NA,2,"30","0","0.071428571","0","0.439024390","52","0","0","","0","0.5","0","","0","","9",""
