"State","County","OBJECTID","DEPCODE","covid_hosp","bed_cencus","available","available_capacity","total_staffed_bed_capacity","adult_icu_census","available_adult_icu","available_adult_icu_pct","total_adult_icu_capacity","pediatric_icu_census","available_pediatric_icu","available_pediatric_icu_pct","total_pediatric_icu_capacity"
"Florida","Alachua",1,1,"72","1,437","266",15.6,"1,703","265","43",14,"308","40","7",14.9,"47"
"Florida","Baker",2,2,"13","461","164",26.2,"625","0","0",0,"0","0","0",0,"0"
"Florida","Bay",3,3,"24","433","91",17.4,"524","46","6",11.5,"52","2","2",50,"4"
"Florida","Bradford",4,4,"0","5","5",50,"10","0","0",0,"0","0","0",0,"0"
"Florida","Brevard",5,5,"43","1,136","470",29.3,"1,606","127","47",27,"174","0","0",0,"0"
"Florida","Broward",6,6,"242","3,924","1,282",24.6,"5,206","337","122",26.6,"459","28","36",56.2,"64"
"Florida","Calhoun",7,7,"0","6","4",40,"10","0","0",0,"0","0","0",0,"0"
"Florida","Charlotte",8,8,"30","383","229",37.4,"612","38","13",25.5,"51","0","0",0,"0"
"Florida","Citrus",9,9,"19","206","85",29.2,"291","29","11",27.5,"40","0","0",0,"0"
"Florida","Clay",10,10,"29","439","100",18.6,"539","50","12",19.4,"62","5","0",0,"5"
"Florida","Collier",11,11,"28","628","209",25,"837","49","36",42.4,"85","0","0",0,"0"
"Florida","Columbia",12,12,"17","97","0",0,"97","13","0",0,"13","0","0",0,"0"
"Florida","Dade",13,13,"315","5,914","2,660",31,"8,574","726","209",22.4,"935","55","54",49.5,"109"
"Florida","Desoto",14,14,"0","10","45",81.8,"55","1","7",87.5,"8","0","0",0,"0"
"Florida","Dixie",15,15,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Duval",16,16,"137","2,682","829",23.6,"3,511","292","131",31,"423","24","16",40,"40"
"Florida","Escambia",17,17,"45","1,053","436",29.3,"1,489","129","12",8.5,"141","6","10",62.5,"16"
"Florida","Flagler",18,18,"20","97","2",2,"99","16","2",11.1,"18","0","0",0,"0"
"Florida","Franklin",19,19,"0","2","13",86.7,"15","0","0",0,"0","0","0",0,"0"
"Florida","Gadsden",20,20,"27","712","241",25.3,"953","0","0",0,"0","0","0",0,"0"
"Florida","Gilchrist",21,21,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Glades",22,22,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Gulf",23,23,"0","4","17",81,"21","0","0",0,"0","0","0",0,"0"
"Florida","Hamilton",24,24,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Hardee",25,25,"0","18","7",28,"25","0","0",0,"0","0","0",0,"0"
"Florida","Hendry",26,26,"2","13","16",55.2,"29","0","4",100,"4","0","0",0,"0"
"Florida","Hernando",27,27,"17","494","248",33.4,"742","46","16",25.8,"62","0","0",0,"0"
"Florida","Highlands",28,28,"24","208","49",19.1,"257","22","7",24.1,"29","0","0",0,"0"
"Florida","Hillsborough",29,29,"136","3,121","636",16.9,"3,757","315","64",16.9,"379","17","19",52.8,"36"
"Florida","Holmes",30,30,"0","15","5",25,"20","0","0",0,"0","0","0",0,"0"
"Florida","Indian River",31,31,"2","278","176",38.8,"454","14","17",54.8,"31","0","0",0,"0"
"Florida","Jackson",32,32,"9","31","62",66.7,"93","3","6",66.7,"9","0","0",0,"0"
"Florida","Jefferson",33,33,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lafayette",34,34,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Lake",35,35,"27","598","285",32.3,"883","68","36",34.6,"104","0","0",0,"0"
"Florida","Lee",36,36,"62","1,331","494",27.1,"1,825","100","39",28.1,"139","65","21",24.4,"86"
"Florida","Leon",37,37,"55","688","169",19.7,"857","61","11",15.3,"72","3","6",66.7,"9"
"Florida","Levy",38,38,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Liberty",39,39,"0","0","0",0,"0","0","0",0,"0","0","0",0,"0"
"Florida","Madison",40,40,"0","6","9",60,"15","0","0",0,"0","0","0",0,"0"
"Florida","Manatee",41,41,"14","612","157",20.4,"769","51","18",26.1,"69","0","0",0,"0"
"Florida","Marion",42,42,"34","736","142",16.2,"878","72","12",14.3,"84","0","0",0,"0"
"Florida","Martin",43,43,"17","255","237",48.2,"492","16","20",55.6,"36","0","0",0,"0"
"Florida","Monroe",44,44,"2","83","84",50.3,"167","7","5",41.7,"12","0","0",0,"0"
"Florida","Nassau",45,45,"1","29","39",57.4,"68","7","1",12.5,"8","0","0",0,"0"
"Florida","Okaloosa",46,46,"15","378","80",17.5,"458","52","2",3.7,"54","0","0",0,"0"
"Florida","Okeechobee",47,47,"12","51","49",49,"100","8","0",0,"8","0","0",0,"0"
"Florida","Orange",48,48,"119","3,142","1,223",28,"4,365","222","182",45,"404","60","52",46.4,"112"
"Florida","Osceola",49,49,"46","813","339",29.4,"1,152","78","45",36.6,"123","0","6",100,"6"
"Florida","Palm Beach",50,50,"154","2,584","1,371",34.7,"3,955","246","147",37.4,"393","16","18",52.9,"34"
"Florida","Pasco",51,51,"33","1,040","285",21.5,"1,325","105","21",16.7,"126","0","0",0,"0"
"Florida","Pinellas",52,52,"99","2,194","947",30.1,"3,141","232","64",21.6,"296","24","8",25,"32"
"Florida","Polk",53,53,"111","1,249","358",22.3,"1,607","123","24",16.3,"147","0","0",0,"0"
"Florida","Putnam",54,54,"6","63","21",25,"84","7","3",30,"10","0","0",0,"0"
