County,COVID Hospitalizations
ALACHUA,103
BAKER,3
BAY,56
BRADFORD,0
BREVARD,89
BROWARD,540
CALHOUN,1
CHARLOTTE,41
CITRUS,32
CLAY,52
COLLIER,56
COLUMBIA,22
DESOTO,2
DUVAL,261
ESCAMBIA,116
FLAGLER,10
FRANKLIN,0
GADSDEN,181
GULF,2
HARDEE,0
HENDRY,3
HERNANDO,25
HIGHLANDS,24
HILLSBOROUGH,209
HOLMES,5
INDIAN RIVER,9
JACKSON,7
LAKE,76
LEE,120
LEON,85
MADISON,0
MANATEE,27
MARION,85
MARTIN,17
MIAMI-DADE,785
MONROE,0
NASSAU,4
OKALOOSA,32
OKEECHOBEE,9
ORANGE,199
OSCEOLA,82
PALM BEACH,237
PASCO,48
PINELLAS,135
POLK,154
PUTNAM,7
SANTA ROSA,17
SARASOTA,47
SEMINOLE,68
ST. JOHNS,14
ST. LUCIE,84
SUMTER,15
SUWANNEE,0
TAYLOR,0
UNION,8
VOLUSIA,72
WALTON,4
WASHINGTON,5
All,"4,285"
