County,Measure Names,Measure Values
ALACHUA,Adult ICU Census,263
ALACHUA,Available Adult ICU,45
ALACHUA,Available Adult ICU%,0.146103896
ALACHUA,Total AdultICU Capacity,308
ALACHUA,Pediatric ICU Census,38
ALACHUA,Available Pediatric ICU,9
ALACHUA,Available Pediatric ICU%,0.191489362
ALACHUA,Total PediatricICU Capacity,47
BAKER,Adult ICU Census,0
BAKER,Available Adult ICU,0
BAKER,Available Adult ICU%,
BAKER,Total AdultICU Capacity,0
BAKER,Pediatric ICU Census,0
BAKER,Available Pediatric ICU,0
BAKER,Available Pediatric ICU%,
BAKER,Total PediatricICU Capacity,0
BAY,Adult ICU Census,46
BAY,Available Adult ICU,4
BAY,Available Adult ICU%,0.08
BAY,Total AdultICU Capacity,50
BAY,Pediatric ICU Census,0
BAY,Available Pediatric ICU,4
BAY,Available Pediatric ICU%,1
BAY,Total PediatricICU Capacity,4
BRADFORD,Adult ICU Census,0
BRADFORD,Available Adult ICU,0
BRADFORD,Available Adult ICU%,
BRADFORD,Total AdultICU Capacity,0
BRADFORD,Pediatric ICU Census,0
BRADFORD,Available Pediatric ICU,0
BRADFORD,Available Pediatric ICU%,
BRADFORD,Total PediatricICU Capacity,0
BREVARD,Adult ICU Census,134
BREVARD,Available Adult ICU,41
BREVARD,Available Adult ICU%,0.234285714
BREVARD,Total AdultICU Capacity,175
BREVARD,Pediatric ICU Census,0
BREVARD,Available Pediatric ICU,0
BREVARD,Available Pediatric ICU%,
BREVARD,Total PediatricICU Capacity,0
BROWARD,Adult ICU Census,380
BROWARD,Available Adult ICU,91
BROWARD,Available Adult ICU%,0.193205945
BROWARD,Total AdultICU Capacity,471
BROWARD,Pediatric ICU Census,32
BROWARD,Available Pediatric ICU,28
BROWARD,Available Pediatric ICU%,0.466666667
BROWARD,Total PediatricICU Capacity,60
CALHOUN,Adult ICU Census,0
CALHOUN,Available Adult ICU,0
CALHOUN,Available Adult ICU%,
CALHOUN,Total AdultICU Capacity,0
CALHOUN,Pediatric ICU Census,0
CALHOUN,Available Pediatric ICU,0
CALHOUN,Available Pediatric ICU%,
CALHOUN,Total PediatricICU Capacity,0
CHARLOTTE,Adult ICU Census,39
CHARLOTTE,Available Adult ICU,10
CHARLOTTE,Available Adult ICU%,0.204081633
CHARLOTTE,Total AdultICU Capacity,49
CHARLOTTE,Pediatric ICU Census,0
CHARLOTTE,Available Pediatric ICU,0
CHARLOTTE,Available Pediatric ICU%,
CHARLOTTE,Total PediatricICU Capacity,0
CITRUS,Adult ICU Census,28
CITRUS,Available Adult ICU,8
CITRUS,Available Adult ICU%,0.222222222
CITRUS,Total AdultICU Capacity,36
CITRUS,Pediatric ICU Census,0
CITRUS,Available Pediatric ICU,0
CITRUS,Available Pediatric ICU%,
CITRUS,Total PediatricICU Capacity,0
CLAY,Adult ICU Census,47
CLAY,Available Adult ICU,23
CLAY,Available Adult ICU%,0.328571429
CLAY,Total AdultICU Capacity,70
CLAY,Pediatric ICU Census,1
CLAY,Available Pediatric ICU,3
CLAY,Available Pediatric ICU%,0.75
CLAY,Total PediatricICU Capacity,4
COLLIER,Adult ICU Census,63
COLLIER,Available Adult ICU,22
COLLIER,Available Adult ICU%,0.258823529
COLLIER,Total AdultICU Capacity,85
COLLIER,Pediatric ICU Census,0
COLLIER,Available Pediatric ICU,0
COLLIER,Available Pediatric ICU%,
COLLIER,Total PediatricICU Capacity,0
COLUMBIA,Adult ICU Census,12
COLUMBIA,Available Adult ICU,0
COLUMBIA,Available Adult ICU%,0
COLUMBIA,Total AdultICU Capacity,12
COLUMBIA,Pediatric ICU Census,0
COLUMBIA,Available Pediatric ICU,0
COLUMBIA,Available Pediatric ICU%,
COLUMBIA,Total PediatricICU Capacity,0
DESOTO,Adult ICU Census,3
DESOTO,Available Adult ICU,5
DESOTO,Available Adult ICU%,0.625
DESOTO,Total AdultICU Capacity,8
DESOTO,Pediatric ICU Census,0
DESOTO,Available Pediatric ICU,0
DESOTO,Available Pediatric ICU%,
DESOTO,Total PediatricICU Capacity,0
DUVAL,Adult ICU Census,305
DUVAL,Available Adult ICU,132
DUVAL,Available Adult ICU%,0.302059497
DUVAL,Total AdultICU Capacity,437
DUVAL,Pediatric ICU Census,17
DUVAL,Available Pediatric ICU,23
DUVAL,Available Pediatric ICU%,0.575
DUVAL,Total PediatricICU Capacity,40
ESCAMBIA,Adult ICU Census,119
ESCAMBIA,Available Adult ICU,22
ESCAMBIA,Available Adult ICU%,0.156028369
ESCAMBIA,Total AdultICU Capacity,141
ESCAMBIA,Pediatric ICU Census,5
ESCAMBIA,Available Pediatric ICU,11
ESCAMBIA,Available Pediatric ICU%,0.6875
ESCAMBIA,Total PediatricICU Capacity,16
FLAGLER,Adult ICU Census,14
FLAGLER,Available Adult ICU,4
FLAGLER,Available Adult ICU%,0.222222222
FLAGLER,Total AdultICU Capacity,18
FLAGLER,Pediatric ICU Census,0
FLAGLER,Available Pediatric ICU,0
FLAGLER,Available Pediatric ICU%,
FLAGLER,Total PediatricICU Capacity,0
FRANKLIN,Adult ICU Census,0
FRANKLIN,Available Adult ICU,0
FRANKLIN,Available Adult ICU%,
FRANKLIN,Total AdultICU Capacity,0
FRANKLIN,Pediatric ICU Census,0
FRANKLIN,Available Pediatric ICU,0
FRANKLIN,Available Pediatric ICU%,
FRANKLIN,Total PediatricICU Capacity,0
GADSDEN,Adult ICU Census,0
GADSDEN,Available Adult ICU,0
GADSDEN,Available Adult ICU%,
GADSDEN,Total AdultICU Capacity,0
GADSDEN,Pediatric ICU Census,0
GADSDEN,Available Pediatric ICU,0
GADSDEN,Available Pediatric ICU%,
GADSDEN,Total PediatricICU Capacity,0
GULF,Adult ICU Census,0
GULF,Available Adult ICU,0
GULF,Available Adult ICU%,
GULF,Total AdultICU Capacity,0
GULF,Pediatric ICU Census,0
GULF,Available Pediatric ICU,0
GULF,Available Pediatric ICU%,
GULF,Total PediatricICU Capacity,0
HARDEE,Adult ICU Census,0
HARDEE,Available Adult ICU,0
HARDEE,Available Adult ICU%,
HARDEE,Total AdultICU Capacity,0
HARDEE,Pediatric ICU Census,0
HARDEE,Available Pediatric ICU,0
HARDEE,Available Pediatric ICU%,
HARDEE,Total PediatricICU Capacity,0
HENDRY,Adult ICU Census,0
HENDRY,Available Adult ICU,4
HENDRY,Available Adult ICU%,1
HENDRY,Total AdultICU Capacity,4
HENDRY,Pediatric ICU Census,0
HENDRY,Available Pediatric ICU,0
HENDRY,Available Pediatric ICU%,
HENDRY,Total PediatricICU Capacity,0
HERNANDO,Adult ICU Census,40
HERNANDO,Available Adult ICU,22
HERNANDO,Available Adult ICU%,0.354838710
HERNANDO,Total AdultICU Capacity,62
HERNANDO,Pediatric ICU Census,0
HERNANDO,Available Pediatric ICU,0
HERNANDO,Available Pediatric ICU%,
HERNANDO,Total PediatricICU Capacity,0
HIGHLANDS,Adult ICU Census,17
HIGHLANDS,Available Adult ICU,13
HIGHLANDS,Available Adult ICU%,0.433333333
HIGHLANDS,Total AdultICU Capacity,30
HIGHLANDS,Pediatric ICU Census,0
HIGHLANDS,Available Pediatric ICU,0
HIGHLANDS,Available Pediatric ICU%,
HIGHLANDS,Total PediatricICU Capacity,0
HILLSBOROUGH,Adult ICU Census,318
HILLSBOROUGH,Available Adult ICU,51
HILLSBOROUGH,Available Adult ICU%,0.138211382
HILLSBOROUGH,Total AdultICU Capacity,369
HILLSBOROUGH,Pediatric ICU Census,23
HILLSBOROUGH,Available Pediatric ICU,17
HILLSBOROUGH,Available Pediatric ICU%,0.425
HILLSBOROUGH,Total PediatricICU Capacity,40
HOLMES,Adult ICU Census,0
HOLMES,Available Adult ICU,0
HOLMES,Available Adult ICU%,
HOLMES,Total AdultICU Capacity,0
HOLMES,Pediatric ICU Census,0
HOLMES,Available Pediatric ICU,0
HOLMES,Available Pediatric ICU%,
HOLMES,Total PediatricICU Capacity,0
INDIAN RIVER,Adult ICU Census,16
INDIAN RIVER,Available Adult ICU,18
INDIAN RIVER,Available Adult ICU%,0.529411765
INDIAN RIVER,Total AdultICU Capacity,34
INDIAN RIVER,Pediatric ICU Census,0
INDIAN RIVER,Available Pediatric ICU,0
INDIAN RIVER,Available Pediatric ICU%,
INDIAN RIVER,Total PediatricICU Capacity,0
JACKSON,Adult ICU Census,6
JACKSON,Available Adult ICU,6
JACKSON,Available Adult ICU%,0.5
JACKSON,Total AdultICU Capacity,12
JACKSON,Pediatric ICU Census,0
JACKSON,Available Pediatric ICU,0
JACKSON,Available Pediatric ICU%,
JACKSON,Total PediatricICU Capacity,0
LAKE,Adult ICU Census,85
LAKE,Available Adult ICU,19
LAKE,Available Adult ICU%,0.182692308
LAKE,Total AdultICU Capacity,104
LAKE,Pediatric ICU Census,0
LAKE,Available Pediatric ICU,0
LAKE,Available Pediatric ICU%,
LAKE,Total PediatricICU Capacity,0
LEE,Adult ICU Census,111
LEE,Available Adult ICU,29
LEE,Available Adult ICU%,0.207142857
LEE,Total AdultICU Capacity,140
LEE,Pediatric ICU Census,66
LEE,Available Pediatric ICU,20
LEE,Available Pediatric ICU%,0.232558140
LEE,Total PediatricICU Capacity,86
LEON,Adult ICU Census,62
LEON,Available Adult ICU,10
LEON,Available Adult ICU%,0.138888889
LEON,Total AdultICU Capacity,72
LEON,Pediatric ICU Census,0
LEON,Available Pediatric ICU,9
LEON,Available Pediatric ICU%,1
LEON,Total PediatricICU Capacity,9
MADISON,Adult ICU Census,0
MADISON,Available Adult ICU,0
MADISON,Available Adult ICU%,
MADISON,Total AdultICU Capacity,0
MADISON,Pediatric ICU Census,0
MADISON,Available Pediatric ICU,0
MADISON,Available Pediatric ICU%,
MADISON,Total PediatricICU Capacity,0
MANATEE,Adult ICU Census,46
MANATEE,Available Adult ICU,12
MANATEE,Available Adult ICU%,0.206896552
MANATEE,Total AdultICU Capacity,58
MANATEE,Pediatric ICU Census,0
MANATEE,Available Pediatric ICU,0
MANATEE,Available Pediatric ICU%,
MANATEE,Total PediatricICU Capacity,0
MARION,Adult ICU Census,83
MARION,Available Adult ICU,8
MARION,Available Adult ICU%,0.087912088
MARION,Total AdultICU Capacity,91
MARION,Pediatric ICU Census,0
MARION,Available Pediatric ICU,0
MARION,Available Pediatric ICU%,
MARION,Total PediatricICU Capacity,0
MARTIN,Adult ICU Census,10
MARTIN,Available Adult ICU,29
MARTIN,Available Adult ICU%,0.743589744
MARTIN,Total AdultICU Capacity,39
MARTIN,Pediatric ICU Census,0
MARTIN,Available Pediatric ICU,0
MARTIN,Available Pediatric ICU%,
MARTIN,Total PediatricICU Capacity,0
MIAMI-DADE,Adult ICU Census,762
MIAMI-DADE,Available Adult ICU,169
MIAMI-DADE,Available Adult ICU%,0.181525242
MIAMI-DADE,Total AdultICU Capacity,931
MIAMI-DADE,Pediatric ICU Census,62
MIAMI-DADE,Available Pediatric ICU,47
MIAMI-DADE,Available Pediatric ICU%,0.431192661
MIAMI-DADE,Total PediatricICU Capacity,109
MONROE,Adult ICU Census,10
MONROE,Available Adult ICU,0
MONROE,Available Adult ICU%,0
MONROE,Total AdultICU Capacity,10
MONROE,Pediatric ICU Census,0
MONROE,Available Pediatric ICU,0
MONROE,Available Pediatric ICU%,
MONROE,Total PediatricICU Capacity,0
NASSAU,Adult ICU Census,7
NASSAU,Available Adult ICU,1
NASSAU,Available Adult ICU%,0.125
NASSAU,Total AdultICU Capacity,8
NASSAU,Pediatric ICU Census,0
NASSAU,Available Pediatric ICU,0
NASSAU,Available Pediatric ICU%,
NASSAU,Total PediatricICU Capacity,0
OKALOOSA,Adult ICU Census,45
OKALOOSA,Available Adult ICU,8
OKALOOSA,Available Adult ICU%,0.150943396
OKALOOSA,Total AdultICU Capacity,53
OKALOOSA,Pediatric ICU Census,0
OKALOOSA,Available Pediatric ICU,0
OKALOOSA,Available Pediatric ICU%,
OKALOOSA,Total PediatricICU Capacity,0
OKEECHOBEE,Adult ICU Census,7
OKEECHOBEE,Available Adult ICU,1
OKEECHOBEE,Available Adult ICU%,0.125
OKEECHOBEE,Total AdultICU Capacity,8
OKEECHOBEE,Pediatric ICU Census,0
OKEECHOBEE,Available Pediatric ICU,0
OKEECHOBEE,Available Pediatric ICU%,
OKEECHOBEE,Total PediatricICU Capacity,0
ORANGE,Adult ICU Census,263
ORANGE,Available Adult ICU,113
ORANGE,Available Adult ICU%,0.300531915
ORANGE,Total AdultICU Capacity,376
ORANGE,Pediatric ICU Census,70
ORANGE,Available Pediatric ICU,42
ORANGE,Available Pediatric ICU%,0.375
ORANGE,Total PediatricICU Capacity,112
OSCEOLA,Adult ICU Census,73
OSCEOLA,Available Adult ICU,50
OSCEOLA,Available Adult ICU%,0.406504065
OSCEOLA,Total AdultICU Capacity,123
OSCEOLA,Pediatric ICU Census,1
OSCEOLA,Available Pediatric ICU,5
OSCEOLA,Available Pediatric ICU%,0.833333333
OSCEOLA,Total PediatricICU Capacity,6
PALM BEACH,Adult ICU Census,276
PALM BEACH,Available Adult ICU,125
PALM BEACH,Available Adult ICU%,0.311720698
PALM BEACH,Total AdultICU Capacity,401
PALM BEACH,Pediatric ICU Census,22
